product_id,customer_id,order_id,order_date,amount,name,email,location,category,price
74,215,1,28-06-2025,2422.73,Stacy Edwards,reedjeffrey@hotmail.com,Bangalore,Toys,1998.31
171,235,2,14-11-2024,3407.78,Mr. Jeffrey Morris,david82@gmail.com,Mumbai,Sports,146.74
103,327,3,17-03-2025,2003.23,Alan Howard,salazarlaura@gardner.info,Pune,Fashion,458.28
137,497,4,15-09-2024,289.34,Diane Young,jamesray@kelly.info,Pune,Toys,1852.66
61,51,5,30-12-2024,3134.65,Kelly Anderson,marissa86@lucas.com,Hyderabad,Toys,159.71
53,123,6,30-11-2024,4727.5,Cameron Rogers,beverly37@brooks.net,Kolkata,Toys,708.52
86,375,7,31-07-2025,3733.9,Stephen Hernandez,gary43@yahoo.com,Hyderabad,Toys,1555.37
26,97,8,20-03-2025,1104.95,Jordan Hale,lopeztheodore@williams.org,Pune,Sports,1252.1
155,4,9,25-12-2024,379.06,Matthew Hall,lisa35@wheeler.com,Pune,Sports,74.64
193,123,10,22-10-2024,2860.8,Cameron Rogers,beverly37@brooks.net,Kolkata,Books,784.58
120,220,11,16-01-2025,4697.12,Colleen Smith,fcosta@gmail.com,Chennai,Sports,1102.52
65,268,12,10-11-2024,199.59,Roberta Miller,parkerellen@yahoo.com,Mumbai,Fashion,1356.77
121,169,13,22-10-2024,2155.96,Mr. Mark Garrison,zcochran@gmail.com,Kolkata,Sports,1739.18
107,354,14,04-06-2025,4069.7,David Jensen,juliahayden@valencia.com,Hyderabad,Toys,1064.14
191,460,15,01-06-2025,4153.17,Diane Lawrence,jeffreyodonnell@garza.com,Bangalore,Electronics,1226.48
25,210,16,02-12-2024,3813.87,Tammy Hunter,bradleypratt@gmail.com,Delhi,Sports,568.65
12,426,17,18-04-2025,1676.84,Katherine Powell,brandon55@gmail.com,Mumbai,Toys,145.47
39,51,18,19-11-2024,1617.29,Kelly Anderson,marissa86@lucas.com,Hyderabad,Fashion,1987.36
14,261,19,17-05-2025,1880.9,Kimberly Perry,michael61@allen.com,Pune,Fashion,135.19
54,174,20,25-12-2024,701.78,Scott Barry,harveyalexander@ochoa.org,Kolkata,Sports,846.63
189,472,21,11-09-2024,3198.59,Michael Alvarez,timothy28@yahoo.com,Delhi,Books,695.07
178,105,22,12-07-2025,2767.38,William Love,kyle61@valdez.info,Delhi,Home,985.62
13,445,23,05-03-2025,4135.02,Christine Anthony,mwalker@gibson-nguyen.com,Bangalore,Books,1778.25
22,345,24,10-09-2024,357.8,Dylan Collins,leesean@smith.com,Bangalore,Home,682.89
101,292,25,19-09-2024,2319.04,Matthew Daniel,jacksonebony@hotmail.com,Chennai,Toys,808.97
186,268,26,22-08-2024,1909.32,Roberta Miller,parkerellen@yahoo.com,Mumbai,Home,266.97
95,474,27,16-09-2024,1164.87,Marcus Elliott,uharris@gaines.com,Pune,Fashion,1507.4
